prop_id,slug,fate,furthest_stage,dropped_in_consolidation,final_vehicles,all_vehicles,roll_calls,detail,citation
P-001,data-minimization-duty-of-loyalty,died_no_recorded_action,reported_favorably,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632
P-002,dark-pattern-ban,died_no_recorded_action,reported_favorably,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632
P-003,ssn-restrictions,died_no_recorded_action,reported_favorably,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632
P-004,sensitive-data-strict-necessity,died_no_recorded_action,reported_favorably,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632
P-005,sensitive-data-transfer-consent,died_no_recorded_action,reported_favorably,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632
P-006,sensitive-data-targeted-ads-ban,died_no_recorded_action,reported_favorably,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632
P-007,consent-request-standards,died_no_recorded_action,reported_favorably,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632
P-008,privacy-by-design,died_no_recorded_action,reported_favorably,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632
P-009,anti-retaliation-pricing,died_no_recorded_action,reported_favorably,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632
P-010,privacy-policy-transparency,died_no_recorded_action,reported_favorably,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632
P-011,individual-data-rights,died_no_recorded_action,reported_favorably,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632
P-012,opt-out-rights-transfers-ads,died_no_recorded_action,reported_favorably,no,H4632;S2770,H4632;H83;S25;S2770,,final vehicle H4632 ended with no further action; no public explanation,https://malegislature.gov/Bills/193/H4632
